AMP ID,Project Title,Status,Donor,District,City
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Baglung,Baglung
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Baitadi,Baitadi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bajhang,Chainpur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bajura,Martadi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Banke,Nepalgunj
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bara,Kalaiya
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bardiya,Gulariya
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bhaktapur,Bhaktapur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Bhojpur,Bhojpur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Chitwan,Bharatpur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dadeldhura,Dadeldhura
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dailekh,Dullu
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dang Deukhuri,Ghorahi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Darchula,Darchula
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dhading,Dhading Besi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dhankuta,Dhankuta
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dhanusa,Janakpur
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dholkha,Charikot
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Dolpa,Dolpa
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Doti,Dipayal
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Gorkha,Gorkha
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Gulmi,Tamghas
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Humla,Simikot
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Ilam,Ilam
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Jajarkot,Khalanga
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Jhapa,Chandragadhi
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Jumla,Jumla Khalanga
8723898853,Support to Institutionalizing the Nepal Food Security Monitoring and Analysis System,pipeline,European Union,Kailali,Dhangadhi
